"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-15",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-16",,,,"0.14","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-17",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-18",,,,"0.92","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-19",,,,"0.05","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-20",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-21",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-22",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-23",,,,"0.32","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-24",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-25",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-26",,,,"0.02","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-27",,,,"0.54","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-28",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-29",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-30",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-31",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-01",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-02",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-03",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-04",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-05",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-06",,,,"0.00","0.0",,,,
