STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/2/1948,,,,,0.69,0,0,,53,46,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/3/1948,,,,,0,0,0,,63,40,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/4/1948,,,,,0.27,0,0,,52,43,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/5/1948,,,,,0,0,0,,73,43,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/6/1948,,,,,1.12,0,0,,59,43,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/7/1948,,,,,0,0,0,,54,39,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/8/1948,,,,,0.02,0,0,,54,34,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/9/1948,,,,,0.21,0,0,,66,45,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/10/1948,,,,,1.54,0,0,,48,43,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/11/1948,,,,,0.19,0,0,,51,43,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/12/1948,,,,,0.3,0,0,,51,44,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/13/1948,,,,,0,0,0,,57,46,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/14/1948,,,,,0.1,0,0,,67,44,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/15/1948,,,,,0.31,0,0,,70,53,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/16/1948,,,,,0,0,0,,74,49,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/17/1948,,,,,0,0,0,,68,52,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/18/1948,,,,,0,0,0,,58,44,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/19/1948,,,,,0,0,0,,65,40,
